Ground Truth, Prediction
10.0, 9.78
2.0, 1.73
1.0, 2.08
3.0, 5.17
4.0, 3.34
6.0, 5.37
1.0, 2.8
2.0, 2.87
7.0, 5.27
1.0, 1.98
7.0, 8.7
2.0, 1.56
6.0, 5.83
12.0, 13.76
3.0, 5.01
1.0, 1.44
11.0, 8.89
20.0, 16.12
3.0, 4.33
32.0, 27.97
16.0, 14.55
7.0, 6.63
3.0, 3.65
14.0, 13.86
3.0, 4.44
3.0, 3.68
9.0, 10.29
6.0, 6.73
5.0, 5.51
3.0, 1.85
4.0, 4.82
12.0, 9.56
15.0, 12.75
5.0, 5.77
2.0, 2.33
3.0, 3.36
19.0, 15.27
6.0, 4.34
6.0, 1.61
19.0, 9.71
1.0, 1.13
9.0, 10.27
1.0, 1.86
3.0, 3.95
1.0, 2.78
3.0, 4.15
4.0, 4.13
2.0, 3.78
8.0, 7.92
7.0, 7.64
7.0, 8.13
12.0, 11.98
9.0, 7.8
12.0, 13.32
4.0, 2.58
2.0, 3.36
13.0, 10.28
9.0, 9.07
10.0, 9.95
8.0, 8.21
4.0, 4.13
18.0, 20.39
7.0, 8.37
9.0, 8.16
4.0, 3.6
17.0, 18.38
5.0, 6.34
16.0, 12.96
5.0, 7.97
4.0, 4.61
13.0, 13.11
9.0, 11.74
12.0, 14.96
3.0, 6.8
10.0, 9.84
9.0, 6.37
15.0, 12.36
1.0, 1.38
11.0, 11.38
10.0, 10.97
4.0, 7.51
7.0, 8.48
13.0, 12.28
1.0, 1.47
1.0, 2.42
14.0, 12.15
8.0, 12.13
2.0, 3.05
3.0, 8.09
5.0, 4.91
6.0, 5.85
21.0, 12.09
5.0, 7.84
2.0, 1.25
3.0, 4.91
2.0, 7.05
11.0, 10.79
6.0, 5.93
6.0, 6.6
6.0, 2.93
12.0, 12.59
2.0, 2.79
15.0, 15.16
2.0, 2.98
7.0, 6.81
15.0, 15.39
14.0, 11.34
11.0, 9.12
7.0, 6.25
14.0, 10.2
8.0, 8.51
1.0, 2.13
11.0, 9.89
3.0, 2.77
11.0, 12.49
2.0, 3.11
8.0, 9.37
8.0, 7.21
12.0, 10.29
7.0, 7.08
6.0, 6.65
4.0, 6.7
9.0, 8.88
12.0, 14.99
9.0, 7.83
9.0, 9.06
8.0, 7.73
13.0, 12.41
16.0, 11.36
4.0, 5.14
