Date, Departure Time, Arrival Time, Flight Info, Destination, Airline Info
2024-05-30,00:00,03:00,CV 6105,Juan, Cargolux San 
2024-05-30,00:30,01:51,GB 110,Cincinnati, ABX Air 
2024-05-30,01:45,16:30,QR 8146,Frankfurt, Qatar Airways 
2024-05-30,03:25,05:55,KE 269,York, Korean Air New 
2024-05-30,04:12,05:39,ATN 3317,Cincinnati, Air Transport International 
2024-05-30,05:00,06:17,AA 2523,Charlotte, American Airlines 
2024-05-30,05:01,06:25,F9 1403,Houston, Frontier Airlines 
2024-05-30,05:01,06:57,F9 17,Bay, Frontier Airlines Montego 
2024-05-30,05:03,07:15,F9 1004,Philadelphia, Frontier Airlines 
2024-05-30,05:26,07:20,NK 403,Lauderdale, Spirit Airlines Fort 
2024-05-30,05:30,07:23,CM 2124,Dulles, Copa Airlines 
2024-05-30,05:30,07:23,CM 2124,Dulles, Copa Airlines 
2024-05-30,05:30,07:23,ET 1371,Dulles, Ethiopian Airlines 
2024-05-30,05:30,07:23,ET 1371,Dulles, Ethiopian Airlines 
2024-05-30,05:30,07:23,UA 334,Dulles, United Airlines 
2024-05-30,05:30,07:23,UA 334,Dulles, United Airlines 
2024-05-30,05:33,07:29,AA 1151,Miami, American Airlines 
2024-05-30,05:47,08:00,NK 3389,York, Spirit Airlines New 
2024-05-30,05:53,06:58,5X 9308,Louisville, UPS 
2024-05-30,05:53,06:58,5X 9308,Louisville, UPS 
2024-05-30,06:00,07:20,WN 1530,Denver, Southwest Airlines 
2024-05-30,06:00,07:20,WN 1530,Denver, Southwest Airlines 
2024-05-30,06:00,07:25,AA 2770,Dallas, American Airlines 
2024-05-30,06:00,07:25,AA 2770,Dallas, American Airlines 
2024-05-30,06:00,07:25,AS 6427,Dallas, Alaska Airlines 
2024-05-30,06:00,07:25,AS 6427,Dallas, Alaska Airlines 
2024-05-30,06:00,07:25,QF 3174,Dallas, Qantas 
2024-05-30,06:00,07:25,QF 3174,Dallas, Qantas 
2024-05-30,06:00,07:39,F9 1564,Orlando, Frontier Airlines 
2024-05-30,06:00,07:54,AM 3018,Detroit, Aeromexico 
2024-05-30,06:00,07:54,AM 3018,Detroit, Aeromexico 
2024-05-30,06:00,07:54,DL 936,Detroit, Delta Air Lines 
2024-05-30,06:00,07:54,DL 936,Detroit, Delta Air Lines 
2024-05-30,06:00,07:54,KL 5004,Detroit, KLM 
2024-05-30,06:00,07:54,KL 5004,Detroit, KLM 
2024-05-30,06:00,07:54,VS 1872,Detroit, Virgin Atlantic 
2024-05-30,06:00,07:54,VS 1872,Detroit, Virgin Atlantic 
2024-05-30,06:00,07:54,WS 7297,Detroit, WestJet 
2024-05-30,06:00,07:54,WS 7297,Detroit, WestJet 
2024-05-30,06:00,07:57,DL 9962,Jose, Delta Air Lines San 
2024-05-30,06:00,07:57,DL 9962,Jose, Delta Air Lines San 
2024-05-30,06:05,07:14,AA 2684,Chicago, American Airlines 
2024-05-30,06:05,07:14,AS 6784,Chicago, Alaska Airlines 
2024-05-30,06:05,07:14,BA 1674,Chicago, British Airways 
2024-05-30,06:05,07:14,JL 7481,Chicago, JAL 
2024-05-30,06:05,07:14,MH 9484,Chicago, Malaysia Airlines 
2024-05-30,06:05,07:14,QF 4862,Chicago, Qantas 
2024-05-30,06:05,08:15,WN 2696,York, Southwest Airlines New 
2024-05-30,06:10,08:16,F9 215,Jose, Frontier Airlines San 
2024-05-30,06:15,07:25,NK 765,Houston, Spirit Airlines 
2024-05-30,06:15,08:01,F9 103,Cancun, Frontier Airlines 
2024-05-30,06:15,08:05,WN 2603,Baltimore, Southwest Airlines 
2024-05-30,06:15,08:30,AC 3043,Newark, Air Canada 
2024-05-30,06:15,08:30,UA 1511,Newark, United Airlines 
2024-05-30,06:15,08:33,B6 320,York, JetBlue New 
2024-05-30,06:15,08:33,EY 8296,York, Etihad Airways 
2024-05-30,06:15,08:33,FI 7906,York, Icelandair 
2024-05-30,06:15,08:33,LY 8642,York, El Al 
2024-05-30,06:15,08:33,QR 3803,York, Qatar Airways 
2024-05-30,06:20,07:30,WN 2073,Houston, Southwest Airlines 
2024-05-30,06:25,07:25,WN 5009,Chicago, Southwest Airlines 
2024-05-30,06:30,07:40,WN 5334,Phoenix, Southwest Airlines 
2024-05-30,06:30,07:44,AC 3304,Chicago, Air Canada 
2024-05-30,06:30,07:44,NH 7421,Chicago, ANA 
2024-05-30,06:30,07:44,NZ 2018,Chicago, Air New Zealand 
2024-05-30,06:30,07:44,UA 1888,Chicago, United Airlines 
2024-05-30,06:30,08:42,DL 513,York, Delta Air Lines New 
2024-05-30,06:30,08:42,KL 5374,York, KLM 
2024-05-30,06:40,08:38,NK 768,Detroit, Spirit Airlines 
2024-05-30,06:40,08:40,AA 2104,Philadelphia, American Airlines 
2024-05-30,06:40,08:40,EI 7311,Philadelphia, Aer Lingus 
2024-05-30,06:45,08:10,WN 5444,Austin, Southwest Airlines 
2024-05-30,07:00,08:00,DL 9976,Charlotte, Delta Air Lines 
2024-05-30,07:00,08:10,NZ 6330,Houston, Air New Zealand 
2024-05-30,07:00,08:10,UA 1129,Houston, United Airlines 
2024-05-30,07:00,08:10,WN 724,Dallas, Southwest Airlines 
2024-05-30,07:00,08:59,NK 1827,Miami, Spirit Airlines 
2024-05-30,07:00,09:17,AS 377,Seattle, Alaska Airlines 
2024-05-30,07:00,09:17,QR 8797,Seattle, Qatar Airways 
2024-05-30,07:00,09:17,SQ 1213,Seattle, Singapore Airlines 
2024-05-30,07:00,09:17,TN 2314,Seattle, Air Tahiti Nui 
2024-05-30,07:03,09:00,AA 2901,Miami, American Airlines 
2024-05-30,07:03,09:00,IB 4928,Miami, Iberia 
2024-05-30,07:05,07:55,DL 1696,Chicago, Delta Air Lines 
2024-05-30,07:05,07:55,KL 8059,Chicago, KLM 
2024-05-30,07:05,07:55,LA 8475,Chicago, LATAM Airlines 
2024-05-30,07:05,08:14,AM 3266,Houston, Aeromexico 
2024-05-30,07:05,08:14,DL 1585,Houston, Delta Air Lines 
